Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10016-101-1,HG-5-88-01,0.04,uM,LJP6,2,A24,72,hr,1389,3764,5447,0.6909,0.6580
50029-3,MCF7,10016-101-1,HG-5-88-01,0.04,uM,LJP6,3,A24,72,hr,1389,3530,5740,0.6149,0.5771
50029-3,MCF7,10016-101-1,HG-5-88-01,0.12,uM,LJP6,1,A23,72,hr,1389,3313,5147,0.6437,0.5841
50029-3,MCF7,10016-101-1,HG-5-88-01,0.12,uM,LJP6,2,A23,72,hr,1389,3767,5447,0.6915,0.6587
50029-3,MCF7,10016-101-1,HG-5-88-01,0.12,uM,LJP6,3,A23,72,hr,1389,3675,5740,0.6402,0.6085
50029-3,MCF7,10016-101-1,HG-5-88-01,0.37,uM,LJP6,1,A22,72,hr,1389,3255,5147,0.6324,0.5693
50029-3,MCF7,10016-101-1,HG-5-88-01,0.37,uM,LJP6,2,A22,72,hr,1389,3782,5447,0.6942,0.6620
50029-3,MCF7,10016-101-1,HG-5-88-01,0.37,uM,LJP6,3,A22,72,hr,1389,3106,5740,0.5411,0.4816
50029-3,MCF7,10016-101-1,HG-5-88-01,1.11,uM,LJP6,1,A21,72,hr,1389,2374,5147,0.4612,0.3279
50029-3,MCF7,10016-101-1,HG-5-88-01,1.11,uM,LJP6,2,A21,72,hr,1389,2807,5447,0.5152,0.4288
50029-3,MCF7,10016-101-1,HG-5-88-01,1.11,uM,LJP6,3,A21,72,hr,1389,2837,5740,0.4942,0.4174
50029-3,MCF7,10016-101-1,HG-5-88-01,3.33,uM,LJP6,1,A20,72,hr,1389,1802,5147,0.3501,0.1477
50029-3,MCF7,10016-101-1,HG-5-88-01,3.33,uM,LJP6,2,A20,72,hr,1389,1989,5447,0.3651,0.1997
50029-3,MCF7,10016-101-1,HG-5-88-01,3.33,uM,LJP6,3,A20,72,hr,1389,1938,5740,0.3376,0.1767
50029-3,MCF7,10016-101-1,HG-5-88-01,10,uM,LJP6,1,A19,72,hr,1389,1116,5147,0.2168,-0.1094
50029-3,MCF7,10016-101-1,HG-5-88-01,10,uM,LJP6,2,A19,72,hr,1389,1417,5447,0.2601,0.0102
50029-3,MCF7,10016-101-1,HG-5-88-01,10,uM,LJP6,3,A19,72,hr,1389,1208,5740,0.2104,-0.0660
50029-3,MCF7,10017-101-1,HG-6-64-01,0.04,uM,LJP6,1,M06,72,hr,1389,6820,5147,1.3250,1.3212
50029-3,MCF7,10017-101-1,HG-6-64-01,0.04,uM,LJP6,2,M06,72,hr,1389,6304,5447,1.1571,1.1537
50029-3,MCF7,10017-101-1,HG-6-64-01,0.04,uM,LJP6,3,M06,72,hr,1389,6226,5740,1.0846,1.0809
50029-3,MCF7,10017-101-1,HG-6-64-01,0.12,uM,LJP6,1,M05,72,hr,1389,5922,5147,1.1506,1.1541
50029-3,MCF7,10017-101-1,HG-6-64-01,0.12,uM,LJP6,2,M05,72,hr,1389,6112,5447,1.1219,1.1201
50029-3,MCF7,10017-101-1,HG-6-64-01,0.12,uM,LJP6,3,M05,72,hr,1389,5911,5740,1.0297,1.0288
50029-3,MCF7,10017-101-1,HG-6-64-01,0.37,uM,LJP6,1,M04,72,hr,1389,6022,5147,1.1700,1.1733
50029-3,MCF7,10017-101-1,HG-6-64-01,0.37,uM,LJP6,2,M04,72,hr,1389,5577,5447,1.0237,1.0239
